table,label,run,MAP,median,HPD68_lo,HPD68_hi,HPD95_lo,HPD95_hi,P_gt_120,P_gt_150,n_eff,N_samples,lnZ,dlnZ,dL_range
T4,\IMRX\ (primary),s07__gw170817__imrphenomxas_nrtidalv3__baseline_lvkbounds__seed0000,71.5,78.23589522023794,63.097719274724035,88.54865412313133,58.816609324039234,117.55550091364118,0.03354628214257105,0.0015994383067376322,30375.16913881452,158049,490.08,0.1,
T4,\IMR\ (anchor),s07__gw170817__imrphenomd_nrtidalv2__baseline_lvkbounds__seed0000,71.5,79.03513917547416,63.16404296278756,90.48694032630964,58.211982598632666,130.00536296167488,0.06978591866143163,0.009312232678413081,30427.711660850317,158045,489.96,0.1,
T4,\TF\ (family check),s07__gw170817__taylorf2__baseline_lvkbounds__seed0000,69.5,78.84482538539848,60.15151662779678,92.00606882789327,56.54926880855039,168.1747395855223,0.13547796580662097,0.0698719536487908,32316.21382365776,160491,490.35,0.09,
T5,Baseline ($\pi(d_L)\propto d_L^{2}$),s14__gw170817__imrphenomxas_nrtidalv3__baseline__seed0000,70.5,77.58615849641552,63.817032126394544,87.63300596504567,59.33226453898783,112.39984103917168,0.01704982483246467,4.066668081022913e-05,30695.37006134065,172611,486.25,0.11,
T5,"Uniform-in-$d_L$, direct",s14__gw170817__imrphenomxas_nrtidalv3__flatz__seed0000,70.5,87.6208762868785,64.21471235817069,103.79673817912732,60.6372855157562,149.63046940150213,0.15944099597139275,0.03805103418830798,37022.30096926849,193797,487.3,0.1,
T5,"Uniform-in-$d_L$, reweighted",s14__gw170817__imrphenomxas_nrtidalv3__reweighted_flatz__seed0000,73.5,82.87730620304751,65.2118821993713,95.8927207463348,60.7016318489475,120.837739367734,0.040803188878646666,0.0001242853162782105,27317.163857692547,172507,,,
T5,"$\sigma_{v_p}=250\,\mathrm{km\,s^{-1}}$",s14__gw170817__imrphenomxas_nrtidalv3__vp250__seed0000,73.5,78.33690386349706,61.69435756653112,90.50639405789512,55.394590790141734,133.10303902734944,0.06876726778618425,0.01519758359636514,36464.34905889282,200323,485.55,0.09,
T5,"$\langle v_p\rangle=215\,\mathrm{km\,s^{-1}}$",s18__gw170817__imrphenomxas_nrtidalv3__baseline__vpmean215__seed0000,74.5,79.86749222610243,66.07828237689698,90.39669946994124,60.86812902841968,114.72798435844182,0.0214988826988627,3.710731194206723e-05,30714.576873512997,172568,485.76,0.12,
T5,"$\langle v_p\rangle=405\,\mathrm{km\,s^{-1}}$",s18__gw170817__imrphenomxas_nrtidalv3__baseline__vpmean405__seed0000,68.5,76.2716799601724,61.45768894738937,87.01979921260254,57.759366011714654,117.46922944344313,0.03042699222959113,0.00023272301030974782,30541.66889022651,172621,486.35,0.1,
T6,Mode A,s10__gw170817__imrphenomd_nrtidalv2__flatz__dL30-75__refGWTC1__seed0000,74.5,78.65708984562319,66.73661197163563,88.83448923835381,61.54247495617004,101.06508326291596,3.0607597836325497e-07,3.04492329618952e-54,35862.84835734531,193977,486.8,0.1,"$[30,75]$"
T6,Mode B,s10__gw170817__imrphenomd_nrtidalv2__flatz__dL10-30__refGWTC1__seed0000,109.5,129.99026787705344,99.52529027729403,151.84700356970143,92.417073861051,200.06859402134072,0.6379264281480996,0.29275935894043326,39023.207631767975,193133,486.95,0.09,"$[10,30]$"
T6,Unrestricted,s10__gw170817__imrphenomd_nrtidalv2__flatz__dL10-75__refModeB__seed0000,73.5,93.59081391666003,62.63573901586406,116.47670241635976,59.44120514071432,189.9645946725937,0.2811967737820817,0.14711857617248358,38212.62894491543,198308,486.48,0.09,"$[10,75]$"
T6,Mode A (s=1),s18__gw170817__imrphenomd_nrtidalv2__flatz__dL30-75__refGWTC1__seed0001,72.5,78.61744108035391,66.06222321599552,88.60304085703677,61.34590011993733,100.9603898710988,3.0982678882986533e-06,4.095949612263971e-59,35915.69849716287,193996,486.71,0.09,"$[30,75]$"
T6,Mode B (s=1),s18__gw170817__imrphenomd_nrtidalv2__flatz__dL10-30__refGWTC1__seed0001,110.5,131.054859782599,99.00232896192306,154.48230997187505,91.71958970404648,206.35677757316176,0.6459320987556191,0.31512736219400206,39575.48116713147,191594,487.62,0.1,"$[10,30]$"
T6,Unrestr. (s=1),s18__gw170817__imrphenomd_nrtidalv2__flatz__dL10-75__refModeB__seed0001,73.5,94.80378963487678,61.985474430516895,121.11953974980904,59.63791650341582,214.8732755316051,0.31054490620139014,0.18615518537163545,38382.01637249102,194162,487.52,0.09,"$[10,75]$"
